CEPH	Population	DistAA
2	Adygei	5349,7
13	Balochi	5997,2
27	BantuKenya	1407,1
4	Basque	6980,6
10	Bedouin	2852,6
32	BiakaPygmy	2631,2
14	Brahui	5997,2
15	Burusho	6668,5
51	Cambodian	10614,0
23	Colombian	26709,0
37	Dai	9752,9
38	Daur	11042,0
11	Druze	2985,7
5	French	6706,6
35	Han	10763,0
36	HanNChina	10347,0
16	Hazara	6585,5
39	Hezhen	11819,0
6	Italian	6054,6
52	Japanese	13095,0
17	Kalash	6409,3
24	Karitiana	27980,0
40	Lahu	9663,6
18	Makrani	5824,0
30	Mandenka	5858,0
25	Maya	23359,0
33	MbutiPygmy	1464,8
21	Melanesian	18586,0
41	Miao	10449,0
48	Mongola	10665,0
9	Mozabite	4893,4
49	Naxi	9561,5
1	Orcadian	7969,0
42	Oroqen	11120,0
12	Palestinian	2985,7
22	Papuan	17134,0
19	Pathan	6585,5
26	Pima	21109,0
3	Russian	6762,9
34	San	3965,6
7	Sardinian	6586,7
43	She	11453,0
20	Sindhi	6358,8
54	Surui	28132,8
45	Tu	9661,8
44	Tujia	10547,0
8	Tuscan	6278,3
50	Uygur	7463,7
46	Xibo	7463,7
53	Yakut	12448,0
47	Yi	9927,8
31	Yoruba	3889,8
