	Adygei	Balochi	BantuKenya	Basque	Bedouin	BiakaPygmy	Brahui	Burusho	Cambodian	Colombian	Dai	Daur	Druze	French	Han	HanNChina	Hazara	Hezhen	Italian	Japanese	Kalash	Karitiana	Lahu	Makrani	Mandenka	Maya	MbutiPygmy	Melanesian	Miao	Mongola	Mozabite	Naxi	Orcadian	Oroqen	Palestinian	Papuan	Pathan	Pima	Russian	San	Sardinian	She	Sindhi	Surui	Tu	Tujia	Tuscan	Uygur	Xibo	Yakut	Yi	Yoruba
Adygei	0	3489,63	6478,84	3448,01	2514,3	6129,71	3489,63	3510,75	7777,23	19726	6916,11	6390,98	2381,21	3169,77	6686,82	6271,3	3521,36	7096,61	2528,73	8853,84	3252,72	20996,5	6826,76	3540,24	7982,8	16375,5	5918,34	15749,4	6813,28	6039,34	5624	6724,72	4240,78	6441,61	2381,21	14297,3	3521,36	14125,2	2061,35	8647,93	3065,29	7467,01	4059,42	21077	5587,4	6729,31	2756,82	3562,32	3562,32	5934,86	6784,97	6497,05
Balochi	3489,63	0	7126,33	6425,5	3222,58	6777,2	0	1089,12	4807,93	20435,4	3946,81	6172,16	3192,68	6151,59	5301,28	5700,06	693,245	6922,23	5499,6	8447,82	961,887	21705,9	3857,47	593,315	8751,05	17084,8	6565,83	12780,1	4643,26	5811,53	6392,26	3755,42	7192,06	6239,14	3192,68	11328	693,245	14834,5	4076,04	9295,42	6031,67	5647,08	739,132	21786,3	5014,47	4740,86	5723,2	2761,64	2761,64	6268,9	4121,68	7265,3
BantuKenya	6478,84	7126,33	0	8109,71	3981,73	2548,69	7126,33	7797,66	11743,2	25302,5	10882,1	11799,2	4114,82	7835,8	11892,1	11476,5	7714,65	12522,5	7183,81	14224,3	7538,48	26573	10792,8	6953,15	6085,9	21951,9	1108,53	19715,4	11578,5	11438,6	5422,9	10690,7	9098,13	11860,5	4114,82	18263,3	7714,65	19701,6	7892,11	2735,61	7715,87	12582,4	7487,93	26653,4	10790,9	11676,1	7407,41	8592,83	8592,83	11428,7	11057	4106,69
Basque	3448,01	6425,5	8109,71	0	4128,45	7749,7	6425,5	6477,43	10743,9	21445,5	9882,79	8662,32	3995,36	418,718	9569,97	8924,29	6488,04	9214,44	925,899	10844,5	6219,4	22716	9793,44	6475,17	9596,95	18094,9	7549,2	18716,1	9709,74	8391,9	7238,15	9691,4	2017,04	8644,71	3995,36	17264	6488,04	15844,6	3452,89	10278,8	1038,2	10350,2	6994,36	22796,4	8483,87	9625,78	883,927	6522,8	6522,8	7819,08	9681,44	8111,2
Bedouin	2514,3	3222,58	3981,73	4128,45	0	3621,25	3222,58	3890,52	7839,46	21337,9	6978,35	7834,69	133,09	3854,54	7984,93	7569,4	3807,51	8557,91	3202,55	10317,2	3631,34	22608,4	6889	3049,39	5528,48	17987,4	3421,23	15811,6	7674,79	7474,06	3169,68	6786,96	5116,87	7895,96	133,09	14359,6	3807,51	15737,1	3927,56	6150,82	3734,62	8678,61	3584,17	22688,9	6883,81	7772,39	3426,15	4685,69	4685,69	7464,14	7153,21	4042,73
BiakaPygmy	6129,71	6777,2	2548,69	7749,7	3621,25	0	6777,2	7448,53	11394,1	24953,4	10533	11450,1	3754,34	7475,79	11542,9	11127,4	7365,51	12173,3	6823,8	13875,2	7189,34	26223,8	10443,6	6604,02	3594,66	21602,8	1440,37	19366,2	11229,4	11089,5	3598,07	10341,6	8738,12	11511,4	3754,34	17914,2	7365,51	19352,5	7542,97	2862,03	7355,87	12233,2	7138,8	26304,3	10441,8	11327	7047,4	8243,69	8243,69	11079,6	10707,8	1606,34
Brahui	3489,63	0	7126,33	6425,5	3222,58	6777,2	0	1089,12	4807,93	20435,4	3946,81	6172,16	3192,68	6151,59	5301,28	5700,06	693,245	6922,23	5499,6	8447,82	961,887	21705,9	3857,47	593,315	8751,05	17084,8	6565,83	12780,1	4643,26	5811,53	6392,26	3755,42	7192,06	6239,14	3192,68	11328	693,245	14834,5	4076,04	9295,42	6031,67	5647,08	739,132	21786,3	5014,47	4740,86	5723,2	2761,64	2761,64	6268,9	4121,68	7265,3
Burusho	3510,75	1089,12	7797,66	6477,43	3890,52	7448,53	1089,12	0	4508,84	19995,9	3647,72	5724,18	3814,06	6199,19	5002,18	5252,08	395,87	6474,24	5558,15	7999,83	260,792	21266,4	3558,37	1447,38	9415,65	16645,4	7237,16	12481	4344,16	5363,55	7056,85	3456,33	7201,49	5791,16	3814,06	11028,9	395,87	14395,1	3926,25	9966,75	6094,7	5347,99	1314,35	21346,9	4566,49	4441,76	5786,23	2313,66	2313,66	5820,91	3822,58	7929,9
Cambodian	7777,23	4807,93	11743,2	10743,9	7839,46	11394,1	4807,93	4508,84	0	20419,2	1014,51	4595,1	7865,59	10465,7	2534,35	3278,22	4437,27	5070,34	9824,62	6045,04	4524,51	21689,7	1151,47	4817,14	13367,9	17068,7	11182,7	8983,74	1848,36	4436,25	11009,1	1670,43	11468	4788,38	7865,59	7531,7	4437,27	14818,3	8170,05	13912,3	10361,2	2603,27	4334,17	21770,1	3043,62	1992,59	10052,7	5308,53	5308,53	6218,22	1878,74	11882,2
Colombian	19726	20435,4	25302,5	21445,5	21337,9	24953,4	20435,4	19995,9	20419,2	0	19654,5	15824,1	21204,9	21141,9	17900,2	17183,6	20006,5	15662,2	20675	17129,9	19737,9	1565,64	19583	20796	26806,4	3462,98	24742	28905,1	18570,9	16044,6	24447,6	19152,4	22000,7	15630,8	21204,9	27453	20006,5	5706,38	18045,9	27471,6	21316,4	18525,3	20962,3	1606,4	18128	18426,6	21007,9	18111,9	18111,9	14467,4	18786,2	25320,7
Dai	6916,11	3946,81	10882,1	9882,79	6978,35	10533	3946,81	3647,72	1014,51	19654,5	0	3830,39	7004,47	9604,54	1912,6	2484,75	3576,15	4352,85	8963,5	5327,55	3663,39	20925	136,959	3956,02	12506,8	16304	10321,6	9320,05	1205,9	3641,52	10148	677,116	10606,8	4023,67	7004,47	7868,01	3576,15	14053,6	7324,72	13051,2	9500,06	2100,63	3476,18	21005,4	2198,29	1307,03	9191,59	4463,2	4463,2	5409,79	934,038	11021,1
Daur	6390,98	6172,16	11799,2	8662,32	7834,69	11450,1	6172,16	5724,18	4595,1	15824,1	3830,39	0	7701,6	8358,78	2078,4	1359,48	5734,79	799,151	7879,37	2656,73	5466,15	17094,6	3758,93	6532,83	13303,2	12473,6	11238,7	13080,9	2746,74	391,194	10944,4	3332,33	9217,59	193,281	7701,6	11628,9	5734,79	10223,2	5235,02	13968,3	8494,31	2703,51	6620,22	17175	2529,48	2602,52	8185,85	3578,45	3578,45	1683,83	2966,07	11817,4
Druze	2381,21	3192,68	4114,82	3995,36	133,09	3754,34	3192,68	3814,06	7865,59	21204,9	7004,47	7701,6	0	3721,45	7908,46	7492,93	3731,04	8424,82	3069,46	10192,1	3554,87	22475,3	6915,12	3075,52	5601,59	17854,3	3554,32	15837,7	7700,91	7340,97	3242,79	6813,08	4983,78	7762,87	0	14385,7	3731,04	15604	3794,47	6283,91	3601,53	8688,65	3610,3	22555,8	6807,34	7798,51	3293,06	4609,22	4609,22	7331,05	7179,33	4115,84
French	3169,77	6151,59	7835,8	418,718	3854,54	7475,79	6151,59	6199,19	10465,7	21141,9	9604,54	8358,78	3721,45	0	9266,43	8620,75	6209,8	8910,9	651,99	10541	5941,16	22412,4	9515,2	6201,26	9323,04	17791,4	7275,29	18437,8	9406,2	8088,36	6964,24	9413,16	1618,03	8341,17	3721,45	16985,8	6209,8	15541	3149,35	10004,9	984,511	10046,6	6720,45	22492,9	8180,33	9322,23	830,239	6240,8	6240,8	7515,54	9377,9	7837,29
Han	6686,82	5301,28	11892,1	9569,97	7984,93	11542,9	5301,28	5002,18	2534,35	17900,2	1912,6	2078,4	7908,46	9266,43	0	807,793	4930,61	2545,87	8691,52	3520,57	5017,85	19170,7	1841,14	5310,48	13510,1	14549,6	11331,6	11031,5	713,283	1958,02	11151,3	1545,85	10125,2	2270,25	7908,46	9579,49	4930,61	12299,3	6194,32	14061,2	9249	828,731	4833,74	19251,1	1312,09	608,3	8940,53	3432,71	3432,71	3739,56	1179,6	12024,3
HanNChina	6271,3	5700,06	11476,5	8924,29	7569,4	11127,4	5700,06	5252,08	3278,22	17183,6	2484,75	1359,48	7492,93	8620,75	807,793	0	5262,69	2004,13	8106,37	3005,7	4994,05	18454,1	2413,29	5747,11	13094,5	13833,1	10916	11739,2	1431,43	1158,03	10735,7	1982,48	9479,56	1552,76	7492,93	10287,1	5262,69	11582,7	5480,03	13645,6	8693,49	1539,44	5270,37	18534,5	1271,74	1287,21	8385,02	3017,18	3017,18	2940,75	1616,23	11608,8
